Organisation Name	ID	Type	Membership Type	Guaranteed?	Network Member?	First Buyer Label	Membership Status	Money Status	Address	City	County	CountryName	Postcode	Language	LocalCurrencyId	Telephone1	Telephone2_tx	Fax	Email	Website	YearJoined	YearLeft	Publications_mm	FurtherInformation_mm	LastUpdatedOn_dt	OldId_tx	Username_tx	Email2_tx	Email3_tx	Telephone3_tx	ContactFullName_tx	ContactPosition_tx	ContactEmail	Comments	Website	PO/MO/NTO
Ambala Hammocks	557	GS SAR Due	FTO	Guaranteed			Member	Pending	"Isaiambalam, Alankuppam, Auroville"	Pondicherry	Pondicherry	India	605 111	English	8	91 413 2623753	91 9360272765		ambala125@yahoo.co.in		2007			Ambala Hammock was formelly called AuroAmbala handicrafts	18-Mar-13		auram	ambalahammocks@gmail.com			Elamvaluthi Jayabalan	Managing Director	ambala125@yahoo.co.in			PO
Angel Felting	4331	Provisional SAR Due	FTO				Provisional	Paid 2018	"Darkhan-Uul aimag, 6th bag, Building 79 45053"	Darhan-Uul	Mongolia	Mongolia				"99028582, 99404813"			angelfelting6@gmail.com	ww.rcm-organic.com													angelfelting6@gmail.com			PO
Apikri	15	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	"Jl. Imogiri Barat Km. 4, 5 No. 163 A"	Yogyakarta		Indonesia	55187	Bahasa	12	62 0274 389 990		62 0274 389 990	info@apikri-craft.org	http://www.apikri-craft.org/	2000				7-Jun-12	APIKRI	apikri	marketing@apikri-craft.org	"director@apikri-craft.org, development@apikri-craft.org"		Mrs. Sudiyanti ( Yanti Sukamta ) 	Director	info@apikri-craft.org 			Int.
Aranya Crafts	17	FTO PV Overdue	FTO		ECOTA		Member	Paid 2018	"60 Kemal Ataturk Avenue, Banani"	Dhaka		Bangladesh	1213	Bengali		880 2 988 2542		880 2 882 3174	nkhair@gmail.com	http://www.aranyacrafts.com.bd	2000		"Rangeen - Natural Dyes of Bangladesh, Naksha - Designs of Bangladesh, brochures and export catalogues, our website: www.aranyacrafts.com"	Aranya conducts training workshops in Bangladesh and abroad. It also organises promotional exhibitions to popularise natural dyes with the craftspeople and the general public.	17-Oct-13	ARANYA	aranya	sarah.crafts01@gmail.com	aranyacrafts@gmail.com		Khair Nawshin	Executive Director	mosharaf2002bd@yahoo.com			PO/Int.
Artisan Hut	873	FTO PV Due	FTO		ECOTA		Member	Pending	"House Number 4, Road No. 1, Sector No. 7, Uttara Dhaka - 1230"	Dhaka		Bangladesh	1230	Bengali		18190270869			artisanhut@gmail.com	http://www.artisanhutbd.com	2014							mhaque31@dhaka.net	monjuhaque@artisanhutbd.com		Monjurul Haque	CEO	artisanhut@gmail.com	WFTO-Asia non-aligned 		PO
Artisan Link (Zardozi)	906	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"32-D/1, Circular Road, University Town"	Peshawar		Pakistan	22000			00 92 915842530			zardozitahira@gmail.com	http://www.afghanartisans.com/content/6-about-zardozi								fayazmahmood@gmail.com	technicalzardozi@gmail.com		Tahira Afridi	Director	zardozitahira@gmail.com			PO
Artisan Well	914	GS SAR Due	FTO	Guaranteed			Member	Pending	"239/1 N.S.C. Bose Road, Nirala Apartment, Flat No. 8, 2nd Floor"	Kolkata	West Bengal	India				0091 33 2421 7922			Artisanwell@vsnl.net	www.artisanwell.org											Kousic Bhattacharjee		artisanwell@hotmail.com 			PO/Int.
Artisans Association of Cambodia (AAC)	385	FTO Audit Due	FTSO		AAC		Member	Pending	"House #12C, Street 105, Sangkat Beung Trabek, Khan Chamcarmon, PO Box No.1303"	Phnom Penh		Cambodia				855 23 213904	855 12 790735	855 23 220 150	aac@online.com.kh	www.aac.org.kh	2005			"Membership type is changed in 2010, from FTSO to FTN."	19-Mar-13		artiac	fashioncambodia@gmail.com			Men Sinoeun	Manager	aac@online.com.kh			NTO [but still trading]
Arum Dalu Mekar (ADM)	21	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	"Jl. Dhayanapura, nunas Rejeki Bungalow n.1"	Seminyak	Bali	Indonesia	80361	"Bahasa, English"	12	62 361 73 1414		62 361 73 1414	arumdalu@indosat.net.id	www.arumdalu.net	2004				20-Mar-09	ARUMDA	arumda	arumdalus@yahoo.com			Setyowati Nawangsari	Manager	arumdalu@indosat.net.id			PO
Asha Handicrafts Association	24	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"1st Floor R.R. Industrial Estate, Off Western Express Highway Kashimira Mira Road"	Mumbai		India	4010104	"English, Hindi"	8	91 22 26845404	91 22 6551 5353	91 22 26848378	asharesources@gmail.com	www.ashahandicrafts.in	1998		"Website: www.peoplink.org/asha, Yearly newsletter and Annual Report"	"Volume business at very competitive prices, for a variety of products, can be provided to ATOs and commercial enterprises."	17-Sep-14	ASHAHA	ashaha	partner@vsnl.com	lucaswfto@gmail.com		Lucas Caldeira	CEO	ceo@ashahandicrafts.com			Int.
